task_id,label,feat
218,application_1758535431786_10383,"[2248604, 507]"
219,application_1758535431786_10343,"[30130309, 6454]"
220,application_1758535431786_10378,"[1838852, 450]"
221,application_1758535431786_10387,"[407403, 198]"
222,application_1758535431786_10356,"[30188349, 24156]"
223,application_1758535431786_10382,"[20383206, 16949]"
224,application_1758535431786_10342,"[21742824, 27970]"
225,application_1758535431786_10390,"[111584, 54]"
226,application_1758535431786_10391,"[1375747, 581]"
227,application_1758535431786_10124,"[31688576, 7141]"
228,application_1758535431786_10388,"[1881895, 717]"
229,application_1758535431786_10396,"[61713, 29]"
230,application_1758535431786_10397,"[105512, 50]"
231,application_1758535431786_10393,"[289032, 140]"
232,application_1758535431786_10395,"[1323245, 232]"
233,application_1758535431786_10392,"[2815541, 932]"
234,application_1758535431786_10398,"[79728, 37]"
235,application_1758535431786_10389,"[10937099, 7946]"
236,application_1758535431786_10325,"[108129254, 86361]"
237,application_1758535431786_10056,"[52440497, 120556]"
238,application_1758535431786_10399,"[77297, 36]"
239,application_1758535431786_10401,"[81366, 39]"
240,application_1758535431786_10318,"[15949703, 3595]"
241,application_1758535431786_10404,"[746074, 159]"
242,application_1758535431786_10406,"[218389, 130]"
243,application_1758535431786_10400,"[15650978, 6537]"
244,application_1758535431786_10407,"[356792, 129]"
245,application_1758535431786_10362,"[30570005, 39412]"
246,application_1758535431786_10409,"[776392, 231]"
247,application_1758535431786_10314,"[20041329, 4515]"
248,application_1758535431786_10363,"[108381425, 56800]"
249,application_1758535431786_10324,"[35997485, 13751]"
250,application_1758535431786_10415,"[134664, 30]"
251,application_1758535431786_10414,"[122560, 28]"
252,application_1758535431786_10351,"[18360679, 4139]"
253,application_1758535431786_10421,"[96127, 47]"
254,application_1758535431786_10423,"[368469, 82]"
255,application_1758535431786_10425,"[318384, 73]"
256,application_1758535431786_10394,"[21435221, 27629]"
257,application_1758535431786_10416,"[2315841, 880]"
258,application_1758535431786_10426,"[383916, 90]"
259,application_1758535431786_10413,"[1718716, 388]"
260,application_1758535431786_10419,"[1283419, 475]"
261,application_1758535431786_10428,"[766206, 290]"
262,application_1758535431786_10430,"[306449, 69]"
263,application_1758535431786_10197,"[93433589, 80762]"
264,application_1758535431786_10429,"[569986, 129]"
265,application_1758535431786_10418,"[2357571, 532]"
266,application_1758535431786_6503,"[1725652611, 734571]"
267,application_1758535431786_10422,"[5112316, 3306]"
268,application_1758535431786_10408,"[4167300, 1016]"
269,application_1758535431786_10437,"[159700, 51]"
270,application_1758535431786_10420,"[8986416, 6258]"
271,application_1758535431786_10439,"[171757, 54]"
272,application_1758535431786_10431,"[1005904, 227]"
273,application_1758535431786_10444,"[210862, 126]"
274,application_1758535431786_10434,"[1502855, 981]"
275,application_1758535431786_10449,"[67759, 32]"
276,application_1758535431786_10442,"[1191843, 270]"
277,application_1758535431786_10445,"[263275, 128]"
278,application_1758535431786_10438,"[2096430, 363]"
279,application_1758535431786_10435,"[1683947, 1131]"
280,application_1758535431786_10448,"[1403229, 317]"
281,application_1758535431786_10450,"[1958572, 1279]"
282,application_1758535431786_10443,"[3923290, 2586]"
283,application_1758535431786_10432,"[44921706, 19190]"
284,application_1758535431786_10446,"[4275526, 1629]"
285,application_1758535431786_10436,"[26256260, 39254]"
286,application_1758535431786_10424,"[25071459, 17933]"
287,application_1758535431786_10451,"[544583, 265]"
288,application_1758535431786_10440,"[4488661, 1012]"
289,application_1758535431786_10427,"[13628039, 17558]"
290,application_1758535431786_10417,"[7666279, 1728]"
291,application_1758535431786_10462,"[240660, 89]"
292,application_1758535431786_10455,"[233250, 53]"
293,application_1758535431786_10464,"[329568, 177]"
294,application_1758535431786_10458,"[5400632, 4440]"
295,application_1758535431786_10412,"[16358984, 10851]"
296,application_1758535431786_10453,"[473421, 108]"
297,application_1758535431786_9728,"[169677184, 23673]"
298,application_1758535431786_10468,"[506253, 279]"
299,application_1758535431786_10447,"[86653040, 74238]"
300,application_1758535431786_10452,"[8443973, 5799]"
301,application_1758535431786_10465,"[2216790, 839]"
302,application_1758535431786_10460,"[2300591, 876]"
303,application_1758535431786_10472,"[383148, 86]"
304,application_1758535431786_10470,"[1917334, 1378]"
305,application_1758535431786_10456,"[20235350, 10714]"
306,application_1758535431786_10471,"[818707, 184]"
307,application_1758535431786_10467,"[11533249, 8350]"
308,application_1758535431786_10475,"[413141, 93]"
309,application_1758535431786_10457,"[32627264, 27903]"
310,application_1758535431786_10477,"[384061, 88]"
311,application_1758535431786_10476,"[4728792, 1698]"
312,application_1758535431786_10479,"[446766, 102]"
313,application_1758535431786_10469,"[14960755, 11941]"
314,application_1758535431786_10473,"[1810892, 410]"
315,application_1758535431786_10474,"[1849443, 418]"
316,application_1758535431786_10484,"[2002616, 1433]"
317,application_1758535431786_10350,"[51546323, 6567]"
318,application_1758535431786_10466,"[6210376, 7996]"
319,application_1758535431786_10489,"[183919, 88]"
320,application_1758535431786_10490,"[101197, 48]"
321,application_1758535431786_10493,"[220923, 50]"
322,application_1758535431786_10491,"[267479, 60]"
323,application_1758535431786_10483,"[8214191, 6281]"
324,application_1758535431786_10496,"[274897, 61]"
325,application_1758535431786_10492,"[986584, 339]"
326,application_1758535431786_10498,"[243246, 55]"
327,application_1758535431786_10485,"[11205694, 4261]"
328,application_1758535431786_10499,"[231179, 54]"
329,application_1758535431786_10497,"[473030, 263]"
330,application_1758535431786_10501,"[168425, 98]"
331,application_1758535431786_10494,"[524679, 119]"
332,application_1758535431786_10480,"[2814591, 2017]"
333,application_1758535431786_10503,"[699896, 243]"
334,application_1758535431786_10500,"[418298, 96]"
335,application_1758535431786_10504,"[249005, 57]"
336,application_1758535431786_10481,"[12573111, 4753]"
337,application_1758535431786_10488,"[12803995, 5370]"
338,application_1758535431786_10506,"[1351482, 260]"
339,application_1758535431786_10507,"[308791, 70]"
340,application_1758535431786_10463,"[19358054, 34640]"
341,application_1758535431786_10478,"[12894402, 9472]"
342,application_1758535431786_10487,"[7431878, 2726]"
343,application_1758535431786_10508,"[466610, 249]"
344,application_1758535431786_10513,"[290712, 66]"
345,application_1758535431786_10509,"[416742, 95]"
346,application_1758535431786_10516,"[255850, 58]"
347,application_1758535431786_10502,"[1301874, 295]"
348,application_1758535431786_10505,"[1990970, 757]"
349,application_1758535431786_10518,"[1186919, 822]"
350,application_1758535431786_10519,"[1499910, 1053]"
351,application_1758535431786_10515,"[1160118, 262]"
352,application_1758535431786_10524,"[274904, 62]"
353,application_1758535431786_10514,"[4715320, 3384]"
354,application_1758535431786_10461,"[6743443, 9164]"
355,application_1758535431786_10526,"[281633, 64]"
356,application_1758535431786_10405,"[18304102, 4125]"
357,application_1758535431786_10527,"[387080, 87]"
358,application_1758535431786_10495,"[5829943, 7481]"
359,application_1758535431786_10525,"[379449, 121]"
360,application_1758535431786_10517,"[2302099, 874]"
361,application_1758535431786_10523,"[979812, 221]"
362,application_1758535431786_10529,"[986433, 372]"
363,application_1758535431786_10511,"[11243930, 4695]"
364,application_1758535431786_10522,"[2336512, 3689]"
365,application_1758535431786_10520,"[5599316, 4058]"
366,application_1758535431786_10531,"[461652, 106]"
367,application_1758535431786_10454,"[26217620, 20977]"
368,application_1758535431786_10323,"[35410628, 7981]"
369,application_1758535431786_10512,"[10450593, 7597]"
370,application_1758535431786_10534,"[347069, 80]"
371,application_1758535431786_10532,"[452561, 103]"
372,application_1758535431786_10521,"[3473989, 5458]"
373,application_1758535431786_10482,"[16801653, 12023]"
374,application_1758535431786_10543,"[148559, 33]"
375,application_1758535431786_10540,"[105921, 51]"
376,application_1758535431786_10542,"[248731, 57]"
377,application_1758535431786_10538,"[3710684, 5497]"
378,application_1758535431786_10545,"[1254211, 450]"
379,application_1758535431786_10550,"[161667, 37]"
380,application_1758535431786_10546,"[359770, 81]"
381,application_1758535431786_10433,"[294652429, 350143]"
382,application_1758535431786_10533,"[1376172, 313]"
383,application_1758535431786_10548,"[964941, 364]"
384,application_1758535431786_10536,"[1163689, 262]"
385,application_1758535431786_10555,"[420883, 96]"
386,application_1758535431786_10547,"[606673, 140]"
387,application_1758535431786_10551,"[545654, 124]"
388,application_1758535431786_10549,"[1158996, 829]"
389,application_1758535431786_10510,"[21485776, 8971]"
390,application_1758535431786_10537,"[1136123, 256]"
391,application_1758535431786_10559,"[5285219, 3799]"
392,application_1758535431786_10573,"[594200, 148]"
393,application_1758535431786_10560,"[2178879, 827]"
394,application_1758535431786_10567,"[318707, 155]"
395,application_1758535431786_10570,"[314952, 153]"
396,application_1758535431786_10459,"[101073735, 82892]"
397,application_1758535431786_10554,"[10671753, 4470]"
398,application_1758535431786_10539,"[2053778, 464]"
399,application_1758535431786_10572,"[1017123, 233]"
400,application_1758535431786_10541,"[2103087, 475]"
401,application_1758535431786_10571,"[10366873, 8537]"
402,application_1758535431786_10553,"[2182114, 379]"
403,application_1758535431786_10544,"[3851612, 1350]"
404,application_1758535431786_10576,"[364091, 100]"
405,application_1758535431786_10535,"[5277456, 2020]"
406,application_1758535431786_10569,"[5070218, 7236]"
407,application_1758535431786_10528,"[7254859, 2545]"
408,application_1758535431786_10568,"[1393392, 314]"
409,application_1758535431786_10575,"[615328, 158]"
410,application_1758535431786_10580,"[274961, 65]"
411,application_1758535431786_10577,"[330968, 78]"
412,application_1758535431786_10579,"[412333, 96]"
413,application_1758535431786_10582,"[145841, 70]"
414,application_1758535431786_10585,"[105752, 51]"
415,application_1758535431786_10590,"[301896, 70]"
416,application_1758535431786_10591,"[108807, 53]"
417,application_1758535431786_10586,"[446099, 157]"
418,application_1758535431786_10583,"[6953578, 10330]"
419,application_1758535431786_10594,"[365202, 85]"
420,application_1758535431786_10596,"[120909, 58]"
421,application_1758535431786_10574,"[3228086, 1082]"
422,application_1758535431786_10563,"[12216807, 4716]"
423,application_1758535431786_10562,"[4716845, 606]"
424,application_1758535431786_10588,"[1049931, 403]"
425,application_1758535431786_10595,"[555530, 137]"
426,application_1758535431786_10598,"[79899, 38]"
427,application_1758535431786_6697,"[354055412, 216095]"
428,application_1758535431786_10600,"[357874, 226]"
429,application_1758535431786_10592,"[1151529, 262]"
430,application_1758535431786_10601,"[4026857, 1425]"
431,application_1758535431786_10589,"[47005100, 26372]"
432,application_1758535431786_10610,"[128986, 27]"
433,application_1758535431786_10607,"[167645, 39]"
434,application_1758535431786_10587,"[4474963, 1588]"
435,application_1758535431786_10599,"[897300, 358]"
436,application_1758535431786_10593,"[2043760, 1195]"
437,application_1758535431786_10613,"[210215, 77]"
438,application_1758535431786_10612,"[133294, 31]"
439,application_1758535431786_10614,"[121102, 29]"
440,application_1758535431786_10605,"[407829, 92]"
441,application_1758535431786_10602,"[3675731, 1225]"
442,application_1758535431786_10578,"[4295531, 1636]"
443,application_1758535431786_10609,"[536606, 121]"
444,application_1758535431786_10619,"[195310, 116]"
445,application_1758535431786_10611,"[553428, 125]"
446,application_1758535431786_10622,"[318913, 118]"
447,application_1758535431786_10604,"[932556, 365]"
448,application_1758535431786_10581,"[16799654, 7005]"
449,application_1758535431786_10623,"[261631, 61]"
450,application_1758535431786_10616,"[2273802, 485]"
451,application_1758535431786_10625,"[259078, 57]"
452,application_1758535431786_10624,"[250150, 56]"
453,application_1758535431786_10615,"[22785829, 15449]"
454,application_1758535431786_10628,"[197466, 46]"
455,application_1758535431786_10584,"[10972241, 7821]"
456,application_1758535431786_10630,"[121310, 28]"
457,application_1758535431786_10632,"[190579, 42]"
458,application_1758535431786_10618,"[4026471, 2853]"
459,application_1758535431786_10637,"[193379, 44]"
460,application_1758535431786_10636,"[107888, 51]"
461,application_1758535431786_10633,"[1560551, 1094]"
462,application_1758535431786_10634,"[1861649, 787]"
463,application_1758535431786_10641,"[581999, 388]"
464,application_1758535431786_10565,"[21367696, 8254]"
465,application_1758535431786_10626,"[2115561, 737]"
466,application_1758535431786_10639,"[77796, 37]"
467,application_1758535431786_10629,"[968200, 389]"
468,application_1758535431786_10638,"[220974, 107]"
469,application_1758535431786_10617,"[15250683, 12678]"
470,application_1758535431786_10643,"[71974, 34]"
471,application_1758535431786_10642,"[295406, 69]"
472,application_1758535431786_10486,"[92173813, 35136]"
473,application_1758535431786_10606,"[2517956, 568]"
474,application_1758535431786_10620,"[4022843, 1404]"
475,application_1758535431786_10635,"[1472685, 287]"
476,application_1758535431786_10648,"[197889, 44]"
477,application_1758535431786_10650,"[109127, 53]"
478,application_1758535431786_10655,"[187849, 41]"
479,application_1758535431786_10646,"[1024101, 231]"
480,application_1758535431786_10656,"[96791, 98]"
481,application_1758535431786_10645,"[1113245, 252]"
482,application_1758535431786_10647,"[957660, 217]"
483,application_1758535431786_10627,"[21533613, 8199]"
484,application_1758535431786_10654,"[3563311, 1275]"
485,application_1758535431786_10659,"[1654337, 639]"
486,application_1758535431786_10651,"[14196456, 6565]"
487,application_1758535431786_10653,"[2320407, 883]"
488,application_1758535431786_10660,"[140329, 31]"
489,application_1758535431786_10658,"[1876098, 713]"
490,application_1758535431786_10552,"[45140251, 39750]"
491,application_1758535431786_10644,"[8689420, 3229]"
492,application_1758535431786_10662,"[241351, 56]"
493,application_1758535431786_10663,"[187574, 90]"
494,application_1758535431786_10640,"[12254524, 4513]"
495,application_1758535431786_10664,"[201035, 97]"
496,application_1758535431786_10649,"[56453090, 38683]"
497,application_1758535431786_10661,"[3379445, 4801]"
498,application_1758535431786_10556,"[18977855, 6663]"
499,application_1758535431786_10665,"[1769504, 605]"
500,application_1758535431786_10666,"[297690, 68]"
501,application_1758535431786_10668,"[660885, 935]"
502,application_1758535431786_10558,"[304880451, 64983]"
503,application_1758535431786_10670,"[471083, 160]"
504,application_1758535431786_10669,"[755044, 171]"
505,application_1758535431786_10621,"[6885920, 1551]"
506,application_1758535431786_10667,"[912847, 208]"
507,application_1758535431786_10557,"[49253702, 88284]"
508,application_1758535431786_10686,"[207845, 76]"
509,application_1758535431786_10674,"[402660, 94]"
510,application_1758535431786_10672,"[1022803, 231]"
511,application_1758535431786_10652,"[17372311, 3722]"
512,application_1758535431786_10671,"[2186665, 832]"
513,application_1758535431786_10681,"[793904, 299]"
514,application_1758535431786_10673,"[919335, 207]"
515,application_1758535431786_10688,"[192725, 113]"
516,application_1758535431786_10683,"[2190746, 1431]"
517,application_1758535431786_10676,"[1574062, 273]"
518,application_1758535431786_10691,"[70145, 33]"
519,application_1758535431786_10608,"[9557666, 2156]"
520,application_1758535431786_10689,"[1678637, 636]"
521,application_1758535431786_10692,"[892585, 581]"
522,application_1758535431786_10685,"[8001786, 5812]"
523,application_1758535431786_10403,"[33776678, 7611]"
524,application_1758535431786_10693,"[212417, 49]"
525,application_1758535431786_10677,"[41133576, 17562]"
526,application_1758535431786_10682,"[18615252, 27465]"
527,application_1758535431786_10657,"[13028091, 2886]"
528,application_1758535431786_10690,"[10064541, 7294]"
529,application_1758535431786_10675,"[1661078, 810]"
530,application_1758535431786_10699,"[363756, 136]"
531,application_1758535431786_10687,"[8396087, 13870]"
532,application_1758535431786_10566,"[21267076, 10369]"
533,application_1758535431786_10702,"[377713, 142]"
534,application_1758535431786_10698,"[15107374, 7988]"
535,application_1758535431786_10697,"[41481742, 35485]"
536,application_1758535431786_10700,"[13675094, 5711]"
537,application_1758535431786_10703,"[5213879, 3625]"
538,application_1758535431786_10561,"[31392243, 11990]"
539,application_1758535431786_10564,"[187860569, 56918]"
540,application_1758535431786_10704,"[1214230, 477]"
541,application_1758535431786_10694,"[20094426, 16079]"
542,application_1758535431786_10701,"[3259013, 735]"
543,application_1758535431786_10705,"[34137751, 19172]"
544,application_1758535431786_10710,"[113694, 55]"
545,application_1758535431786_10711,"[340689, 77]"
546,application_1758535431786_10707,"[1638955, 578]"
547,application_1758535431786_10715,"[76646, 37]"
548,application_1758535431786_10716,"[773493, 292]"
549,application_1758535431786_10717,"[278690, 63]"
550,application_1758535431786_10718,"[211961, 125]"
551,application_1758535431786_10719,"[1370376, 471]"
552,application_1758535431786_10706,"[2503922, 564]"
553,application_1758535431786_10713,"[44189652, 29979]"
554,application_1758535431786_10712,"[15888542, 13204]"
555,application_1758535431786_10679,"[10525326, 2373]"
556,application_1758535431786_10721,"[112438, 54]"
557,application_1758535431786_10722,"[101478, 48]"
558,application_1758535431786_10708,"[8169434, 2917]"
559,application_1758535431786_10720,"[1662758, 1090]"
560,application_1758535431786_10680,"[6962497, 1698]"
561,application_1758535431786_10723,"[1050139, 443]"
562,application_1758535431786_10714,"[3248923, 732]"
563,application_1758535431786_10726,"[843769, 319]"
564,application_1758535431786_10727,"[345577, 79]"
565,application_1758535431786_10730,"[84258, 40]"
566,application_1758535431786_10724,"[2246663, 780]"
567,application_1758535431786_10733,"[245754, 55]"
568,application_1758535431786_10695,"[10470975, 2360]"
569,application_1758535431786_10735,"[69183, 33]"
570,application_1758535431786_10725,"[1643888, 371]"
571,application_1758535431786_10731,"[1078213, 189]"
572,application_1758535431786_10736,"[317853, 72]"
573,application_1758535431786_10737,"[66414, 31]"
574,application_1758535431786_10729,"[3703037, 1412]"
575,application_1758535431786_10709,"[47244818, 24757]"
576,application_1758535431786_10747,"[109888, 24]"
577,application_1758535431786_10745,"[120961, 61]"
578,application_1758535431786_10740,"[157842, 39]"
579,application_1758535431786_10734,"[2326611, 524]"
580,application_1758535431786_10732,"[2359451, 532]"
581,application_1758535431786_10738,"[1827318, 1309]"
582,application_1758535431786_10741,"[820343, 183]"
